costs1,costs2
1063.9602525255,1581.2970847053
1272.8516851108,1792.8711854475
1129.1323776319,1708.3547981802
1055.9955934715,1593.202945965
1180.0634945325,1619.3978216002
1177.2191649465,1688.3661826543
1233.6591293322,1862.8950299108
1079.1008818239,1546.2899066155
1278.7140517488,1651.2931426763
1145.353799423,1778.1441617777
1089.6450178786,1599.93214014
900.6000738448,1456.8137274684
1085.7561664903,1658.4295778363
1067.9386224536,1628.027165149
1093.6845190943,1587.6780577457
986.232532881,1625.9593281476
1167.3045752355,1760.1164791812
1062.0483413191,1668.4863808065
1274.3063676804,1653.101661011
1156.3157107528,1707.7896535278
1301.5196388908,1706.9306019825
1058.3561236522,1636.6545428417
1216.9953450841,1660.7421125397
1155.8511157163,1596.9245941401
1227.7923664398,1699.1116674368
1147.445241273,1764.238577037
1035.5386951646,1538.9574082784
1245.5097471811,1762.3177710274
1330.6182258698,1941.4052829727
1282.212907703,1786.0711440178
1306.1278317872,1645.832301114
1115.6624741469,1595.2003937982
1526.0268634597,1877.9278568831
1188.3800391345,1653.2030183996
1155.4124556416,1622.6556737334
1239.2170344128,1984.2067464912
1136.8699506782,1608.6719763703
1335.5789015808,1669.8793358273
1080.9702498157,1698.9371972795
1365.9637662841,1823.3786746404
1083.9895821274,1649.7748020755
1313.3781835801,1766.2739846209
1219.5223874913,1703.7637667907
1319.0728518738,1878.6929008789
1196.9308289711,1644.1033438115
1147.3717437052,1544.2568857887
1161.9035586549,1735.1665407552
1144.0033111968,1599.4894893144
1370.6486111393,1703.6520734067
983.1354360832,1480.3381315855
1367.1874073358,1761.1466504155
1142.7109934727,1675.5237178631
1143.5005758419,1769.6576425888
1143.1758695451,1595.1210358101
1191.8563870301,1622.8684573256
1387.4874700154,1906.0694472115
1122.1271787134,1639.9504957118
982.2194311854,1479.4818315596
1453.3408802675,1791.3878364144
1221.2587376262,1637.3471979806
1174.2209798231,1670.9895015342
1057.6731381543,1581.606151056
1222.3309884851,1759.6464435984
1398.4104395006,1746.5331900605
1137.5873359127,1621.6216545832
1214.027770162,1670.1073959032
1223.299425711,1674.346545478
1238.315080308,1677.3454493308
1197.7034728477,1609.7748865204
1122.8200586114,1622.5769096917
1389.2034943025,1824.5966708382
1134.2284282345,1598.6822021311
1477.5655690001,1681.7247906648
1304.2139146915,1769.4267526354
1212.2684804348,1711.731310629
1342.8866964962,1758.9260990706
1225.7393784653,1885.7910259913
1297.8661054704,1783.1637065159
1553.5575145627,1878.5463466195
1006.1760995125,1502.3986032587
1049.7191801684,1561.1555098167
1071.4036324946,1533.5015625728
1282.2330059695,1604.5669248443
1452.1927366843,1767.0165290968
1668.2030439771,1713.7313215736
1212.0864723342,1674.4921251871
1257.2813093381,1741.6902228611
1117.9791323087,1633.6995053939
1113.0601137749,1711.4926052894
1119.0276452798,1743.0921142014
1104.4143458693,1649.5052125093
1049.3810888662,1664.7999892586
1189.8011219441,1664.4019721295
1342.4951747755,1792.4380919156
1157.1517729474,1639.2249175345
990.2894847946,1491.0335820556
1230.4384802833,1846.5785354627
1141.824037384,1573.5503083399
1119.207482895,1676.2698928749
1436.1493753778,1582.7814906103
1187.3904543242,1665.8648692709
1231.0354301532,1717.9172132942
1176.7499195297,1631.0515217984
1181.776590757,1734.7075536197
1155.3741705928,1664.2891115347
1191.4053613106,1844.7284593947
1058.2462736911,1600.7447991432
1050.8004956773,1519.4630477563
1174.4440328531,1631.3484194177
1663.7414374338,1694.0777506571
1298.629756332,1742.8607232173
1136.0103925345,1617.0775570154
1224.7883503499,1634.5627492041
1169.3539316511,1700.6712897859
1022.0900736667,1557.2741965333
1458.5046308864,1913.0208458553
1142.1489721693,1593.3147289123
1075.9133580962,1669.4624326348
1021.7200986697,1524.6030942681
1144.5811173644,1575.6049334493
1154.846316826,1693.8076397169
1259.6593293813,1757.0493173281
1008.18244771,1519.9672960356
1140.1019608444,2001.0583121043
1774.7992444203,1845.8632492613
1248.3488350212,1897.9088715724
1108.107771814,1571.8330761124
1315.924875229,1852.8110885176
1152.1458846871,1627.5881640788
1104.3417414579,1661.629345404
1483.9723082614,1829.5260613049
1081.1718087887,1577.8139639373
1237.7710547241,1654.573637425
1189.7015078788,1649.3264306713
1163.7209360834,1729.4886874119
1071.8834771154,1535.6392154422
1128.6203571954,1676.9996775702
1398.8458059327,1753.1116238765
1321.9902008903,1615.49237678
1048.6342045688,1571.5524462827
1518.6185104422,1650.2713158179
967.9415836334,1463.4983861136
1193.6969194055,1658.8095535893
1231.6241027996,1771.5526787539
1153.2439516682,1654.5531071152
1310.4351660035,1657.7803481927
1029.8115599948,1531.3524455978
1396.8695435993,1707.2711289327
1016.1645849073,1505.4484195678
1254.5890238794,1588.2512503274
1143.7240845493,1724.010753061
1145.5578881453,1692.0594077442
1232.7984086872,1684.0764929387
1329.0427468641,1782.0673902777
1099.0794393846,1554.1906559604
1212.3568997604,1764.3113382192
874.0459548474,1395.5946032456
1132.7793263578,1716.6117901123
1221.1842710323,1629.6779658766
1093.0950454366,1602.9055680029
1292.3142409395,1802.4719941767
1044.2330374994,1667.9336444268
1418.0611185618,1789.4450517985
1174.54078377,1660.6380124896
1115.019332022,1580.3484868432
1016.9590260591,1526.5371030408
1156.3270915031,1630.1599620405
1099.3412187664,1558.5431300626
1362.9484394267,1768.989998147
1100.6800284993,1671.9829651523
1597.1425894038,1723.1085091922
1137.1760734325,1559.5255341022
1245.7822955082,1936.130425889
1129.3074331199,1641.2051896623
1106.5517921991,1555.1304139124
1379.320007119,1742.4803642547
1036.7542079121,1552.9360964027
1062.03425645,1602.7248795973
1053.2764285298,1650.0141805879
1243.1845271569,1717.2606430419
1044.581093661,1590.0701291184
1409.3974240772,1712.5973522895
1140.438232995,1580.9235878008
1073.5842978786,1714.8667828217
1044.1632310672,1781.4795794127
1002.1068968656,1593.8544813356
1184.4422970174,1604.6304724573
1131.0627047594,1575.6528150498
1368.9508664957,1671.150058052
1418.9183813544,1803.8303426076
1071.7818458466,1609.4795051712
1171.665285275,1749.8633062339
1226.807775113,1745.3024549124
1002.3038559864,1503.8298806648
1109.7122009578,1612.7275926695
1399.3653814476,1799.9514701215
1362.783459583,1771.0001233601
973.1052891811,1447.4271431005
1146.8231051362,1718.4369092127
1269.9066009447,1833.3129648255
1115.2604674585,1750.6055577711
1263.2240602064,1615.1016989075
1380.9461650672,1790.1017353394
1198.7488466383,1659.671029928
1073.788895968,1564.7113522275
1120.3013738154,1600.8910102586
1048.7276330879,1552.8712952086
1043.2259796261,1546.3460378364
1123.953289242,1612.5106588637
1140.860073338,1813.4048528939
1271.3820126049,1624.9888583038
1437.2619393758,1937.4459385685
1269.5969012893,1848.4651845226
1145.7217863766,1664.1119825154
1139.0529947622,1587.5015546731
1138.75389202,1613.3655123033
947.3059363897,1455.79503607
1191.2971159355,1615.8648247072
1204.2615458667,2218.1082167503
1058.1302806069,1841.1436056087
1355.6628442863,1853.3748087885
1282.1020925623,1649.0474157443
1035.5021688046,1605.22870251
1323.2200325044,1976.392245616
1183.7587580776,1670.9643272462
1090.0808680424,1570.868030178
1282.1298381229,1725.2687149974
1071.8184040235,1539.0383858013
1343.7570879407,1810.189329337
1282.5659129578,1728.9341644154
1129.4989962763,1681.3328836341
1351.9428943473,1611.4566046737
1477.1754136512,1636.3154379083
1163.7819815383,1601.5973901315
1062.6014857489,1603.4715742349
1254.0717718593,1824.1633228915
1295.542658402,1673.8111261616
1215.5754242926,1685.0729450226
1149.7424174505,1692.0398664336
1282.3450722653,1653.0930995911
1255.066738695,1844.7022249469
976.5649301907,1471.561579954
1033.5662480851,1562.9785222963
1033.9594549169,1787.4268975259
1356.1111398969,1573.546713549
1091.0650912839,1561.6227140172
1052.9162342566,1580.6292382701
1310.3034914853,1832.4287719692
1048.6874763372,1636.5321223474
1258.2003052424,1830.7197091861
1498.815355532,1758.4780251551
1036.0038405148,1533.3474804427
1098.2420061528,1596.3523508444
1107.0628798467,1560.7187954968
1245.1006380708,1826.3903441449
1057.6601785175,1556.9777088582
994.1452493101,1498.3577382534
1655.0104543324,1950.9936364541
1269.5594253744,1655.5798129101
1579.3565326315,1673.1713305147
1136.6707891894,1622.4600792477
1148.4383303586,1664.9600975937
1207.3769525208,1911.040828034
1062.557753127,1576.1343600698
1147.3197923372,1699.9237514246
1290.1753036053,1841.8634210434
1505.6616837441,1851.3870122429
1334.0429948146,1759.1140357995
1089.640647171,1727.2388116518
1170.3082762821,1675.903036016
1071.5250034156,1574.7442078583
1130.5827987255,1599.3299250322
1041.8379568607,1532.0469098382
1242.6282933988,1836.4542816125
1469.1191195372,1886.6956253625
1206.7713215918,1736.8538979377
1134.8205037371,1609.8506694136
1279.857449391,1943.1619628235
1284.1943158654,1684.9985438973
1114.7480012758,1651.4982424472
1192.2683312107,1876.0549574849
1103.035117037,1612.4156895312
1380.0114746584,1837.7323005458
1083.8662733353,1611.0039509695
1084.2674494871,1721.1480935176
1505.0646986435,1978.4752478895
1079.0980367609,1554.6412320547
1437.4319027324,1776.9646696338
1191.3561008273,1691.6347537957
1500.4572622144,1630.2552447099
1043.9912871622,1620.1299286442
1397.9450949823,1683.4740147504
1166.9124518925,1738.1015517766
1080.9255142338,1781.4153903868
1327.0349896003,1730.2149959307
1252.6153184205,1666.4276553855
1046.624152517,1660.5797802207
1135.6948138434,1709.4330078029
1081.8077006396,1571.470365681
926.724928156,1455.8360964388
1374.4254714081,1868.5667084741
1121.4695793232,1583.6865319715
1036.6827541945,1523.3359158388
1336.8920449107,1917.5286571447
1103.8161307069,1782.005404592
1154.7863272399,1684.2439481154
1137.9594886952,1675.5043044578
1189.2258936484,1678.5433009648
1402.4663499742,1700.1925874406
1228.9913985549,1780.3836645253
1015.0873578083,1520.0482644952
1088.0061865623,1737.5039105548
1348.1742047648,1678.4306022045
1116.7543707681,1822.4226438808
943.7184372384,1461.6065833105
1104.0604366273,1614.1268489351
1871.1204238279,2044.335244683
1252.7151290023,1700.3558763214
1010.1745016627,1525.8439960897
1044.5178051959,1545.7560120573
1377.1278091114,1731.6032917639
1177.2349840894,1644.2518497474
1446.8677251753,1839.91905252
1257.0583902211,1781.2862312187
1099.7068704433,1688.5020662059
1182.9270377287,1691.3924520606
1236.4604982046,1696.7073313909
1046.4254272033,1571.4240963659
1099.5159924785,1910.4401506089
1082.5727032847,1551.8848145288
1221.1751189186,1635.4722161104
1123.434940411,1673.4797360997
1412.6722500037,1853.5547903255
1652.9974717061,1671.957664069
1091.652165484,1579.3450833065
1317.2299263629,1629.5611295477
1244.8818662308,1800.2110859603
1544.3868469196,2032.0998674438
1197.9741758049,1764.9815156862
1077.9258925005,1587.635116114
942.267783393,1572.8914933623
1303.2269111683,1830.6003755099
994.7585014851,1491.8921042092
1348.9727297264,1820.480148611
1106.0422235597,1774.1821759579
1042.3228135613,1632.9466716053
1174.6507948768,1579.1332830157
1568.0358053455,1766.0837301998
1248.0250180651,1660.3387804548
1003.5682713871,1503.012423992
1235.3593312235,1720.7104917143
1259.0804627544,1744.386366489
1371.3626151288,1829.5636036411
1157.7164774554,1667.733270757
991.4993954766,1470.2380346208
1113.2855656033,1532.7616872726
1121.8798221705,1572.4127880744
1064.2149861826,1596.5936906543
1124.0955909881,1575.5135690251
1207.3204025617,1776.4196152661
1130.1019399027,1667.0731620521
1292.894150618,1905.087756798
1176.6982299414,1897.2399037054
1134.0946017223,1627.7747664037
1095.3812676775,1676.0963722523
1320.0862260377,1729.2827305651
1187.3501449642,1838.7507978649
1143.9117969876,1677.8506109436
1018.8281520784,1525.3209493003
1304.9517538654,1631.5705187139
1225.8144256125,1698.916645907
1427.1429236047,1909.846212945
1156.2469635202,1674.0291982944
1148.4309831721,1668.7737948742
1130.7811404184,1662.3220449738
1200.415929045,1706.0510906456
1281.2060901825,1665.5769527514
1281.7574245547,1751.0439301807
1223.8717050203,1758.9923220888
1270.9274661059,1707.459210831
1126.5813810586,1730.5218914225
1139.5894823684,1610.8918245495
1251.4952791591,1756.1320425777
1221.1108419341,1779.9129143332
1162.6304710476,1736.0409324119
1515.4699452548,1791.9818431364
1588.7360156124,1817.639879248
1059.4394528693,1641.093135832
1468.6386652976,1911.6432135745
1142.5573145448,1612.5308763273
1323.5592023206,1758.0444510734
1185.4335337181,1717.5697417384
1227.0125457571,1756.9553040997
1349.6421539199,1998.4988539065
1273.4799234924,1603.1526243159
1189.836868,1710.8944121178
1277.7818678855,1642.7882353909
1056.2242129839,1574.1430605901
1362.6975271558,1717.5784963643
984.5107744457,1492.1862419601
1157.7757413689,1618.4545733574
1033.1076240494,1538.178347383
1167.3682800791,1692.9736548676
1408.2804342296,1663.9866761954
1134.518977416,1578.9515629625
1320.8891104874,1737.1434214892
1098.0461485864,1552.2288745598
1168.4323489823,1894.936568961
1040.4009949559,1652.2927104208
1322.46529579,1808.829898179
1169.37774608,1607.4820775875
1166.8685040805,1680.8044761688
1161.8844460014,1664.4897880377
1038.9145694676,1561.4732252992
1306.9916513968,1670.6927838967
1369.1754720643,1833.5661113129
1171.4898503007,1663.873233489
1365.9663319755,1720.4052771187
1218.0374672908,1808.7310223742
1310.1185882524,1712.1039088307
1336.9300415016,1700.6053657697
1166.5566009792,1809.0509618898
1497.5586298182,1882.8209823251
1228.6757878277,1674.4830910659
1084.5156837651,1557.5178554383
1395.0814914347,1736.6907152236
1110.3188613538,1612.9007315964
1060.3159752017,1618.6290705509
1239.0081682934,1689.6612874891
1252.6634841989,1902.0865298758
1280.6210135786,1657.7130197545
1225.9311073522,1932.2007182301
1208.731568818,1863.1819974756
1302.8615019158,1677.4303405902
965.4009347264,1458.5016272046
1220.2587702098,1797.1819987628
1457.8303332584,1811.4819942789
1093.2697970192,1675.1509545763
1066.7404302193,1582.9234176187
1086.7390253035,1706.1638080024
1073.639405052,1658.3907851371
1290.3800513527,1637.1995552897
1226.075187899,1773.8108144217
1162.4129843401,1656.7842503897
1262.1143115534,1632.6543071188
1052.768966735,1627.4554401408
1134.5632933703,1868.7619905446
1244.4866894343,1852.0310597153
1395.1506507692,1993.5139071491
1175.9985150308,1664.0104933926
1279.9844773563,1731.5437608697
1461.7443931874,1666.817951163
1134.0413007486,1629.4472252884
1135.8166606576,1776.6474510424
1314.1300008653,1795.3296975738
1208.1629908494,1658.8361535922
1217.2393333654,1692.2459450295
1405.0637734417,1799.2288009915
1086.834523715,1758.5686333911
1225.6970978994,1735.8302287146
983.4594187076,1482.1168671781
1123.668695431,1569.2895686138
1349.5309740638,1689.2941211405
947.1996016977,1458.8385446667
1676.8140419258,1803.4033698049
1016.8922356114,1553.3173660947
1092.3685811597,1537.717797149
1281.9457803771,1855.0404703458
977.0550981992,1487.5703642751
1600.6772815262,1774.3639550608
1164.8127193696,1621.7516406081
1207.661869644,1670.1779779418
1539.6130867562,1729.603020355
1120.5890923565,1652.4811034647
1208.7295370501,1637.1961598555
870.3303401161,1436.1849100717
1086.3246840334,1609.2449095106
1331.4849793802,1562.8720408762
1168.2560557503,1601.9210407479
1490.0829208857,1847.9834705384
1148.7583639201,1652.9451304823
1389.0084406437,1724.185677682
1123.6575726125,1708.1097026262
1111.6677049964,1622.6512794011
1122.1874592624,1722.9204797683
1154.7578711229,1756.6359082235
1300.9090558375,1757.698520652
1170.6792833612,1660.3346769277
1363.7673398332,1658.2364703508
1019.7265230791,1693.6528048119
1139.4164356231,1768.0789358079
1231.7042807069,1664.9744473529
1106.0729174552,1617.8452628047
1167.3275684315,1717.1317664908
1433.6528701105,1669.3474472346
1142.7783463632,1677.7134792805
1205.7135176198,1721.4752367395
1122.1167936093,1609.5958379703
1107.0240574415,1687.5870550035
1018.1374434648,1558.0180601129
1100.2701022939,1608.0430571126
